
Predictions were generated on 06-Sep-2024 at 17:54:47 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 32-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time      	Wind1VelX 	BldPitch1 	RotSpeed  	TTDspFA   	TwrBsMyt  	LSShftTq  	RootMyc1  	GenPwr    	GenTq     
(s)       	(m/s)     	(deg)     	(rpm)     	(m)       	(kN·m)    	(kN·m)    	(kN·m)    	(kW)      	(kN·m)    
    0.0000	 1.600E+01	 1.200E+01	 1.210E+01	 0.000E+00	-1.420E+03	 0.000E+00	 1.017E+03	 5.000E+03	 4.309E+01
    0.0125	 1.600E+01	 1.200E+01	 1.210E+01	 0.000E+00	 4.244E+04	 4.352E+03	 6.767E+03	 5.000E+03	 4.308E+01
    0.0250	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 2.500E+04	 4.004E+03	 4.387E+03	 5.000E+03	 4.309E+01
    0.0375	 1.600E+01	 1.200E+01	 1.210E+01	 0.000E+00	 3.387E+04	 4.182E+03	 5.587E+03	 5.000E+03	 4.309E+01
    0.0500	 1.600E+01	 1.201E+01	 1.210E+01	 0.000E+00	 3.395E+04	 4.183E+03	 5.605E+03	 5.000E+03	 4.309E+01
    0.0625	 1.600E+01	 1.201E+01	 1.210E+01	 0.000E+00	 3.388E+04	 4.182E+03	 5.587E+03	 5.000E+03	 4.309E+01
    0.0750	 1.600E+01	 1.201E+01	 1.210E+01	 0.000E+00	 3.383E+04	 4.181E+03	 5.579E+03	 5.000E+03	 4.309E+01
    0.0875	 1.600E+01	 1.201E+01	 1.210E+01	 0.000E+00	 3.386E+04	 4.181E+03	 5.581E+03	 5.000E+03	 4.309E+01
    0.1000	 1.600E+01	 1.201E+01	 1.210E+01	 0.000E+00	 3.385E+04	 4.181E+03	 5.578E+03	 5.000E+03	 4.309E+01
